receptor_name	margin_gain	bound_margin	partner_free_margin	n_units	captured_classes
aa2ar_human	0.5956951994593125	0.6499776048528103	0.05428240539349777	1	Gs
acm3_human	-0.4363924457922008	-0.8799176862008923	-0.44352524040869146	1	Gq/11
adrb2_human	1.2646366964965634	0.5187688024151423	-0.7458678940814212	1	Gs
gp101_human	0.01990942630353787	0.04358789154301601	0.02367846523947814	1	Gs
gpr34_human	0.30964585886772944	0.9906838340273544	0.6810379751596249	1	Gi/o
hcar2_human	0.006051498793031351	0.9994179280290005	0.9933664292359692	1	Gi/o
lpar1_human	0.5196118681401826	0.2801018058605725	-0.2395100622796101	2	Gi/o;Gq/11
mrgx2_human	0.05863945266877618	0.05863945266877618	0.0	2	Gi/o;Gq/11
oprd_human	-0.41148019783084494	0.04764299640624814	0.4591231942370931	1	Gi/o
opsd_bovin	0.543434302041837	0.9142252061112615	0.3707909040694245	1	Gi/o
taar1_mouse	0.1268150846709895	0.12681508467098934	-1.6653345369377348e-16	2	Gq/11;Gs
taar9_mouse	-0.5599360569717307	0.12840483965508603	0.6883408966268167	1	Gs
